"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"우정총국","광장면적 전체","서울특별시","종로구","광장                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","640","100000","02-2148-3544","서울특별시 종로구 우정국로 59","","서울특별시 종로구청","37.57442745","126.9826167","2021-07-12","","2021-10-17 11:36:48.0"
"도렴녹지","녹지면적 전체","서울특별시","종로구","녹지                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","867","100000","02-2148-3544","서울특별시 종로구새문안로3길 30","","서울특별시 종로구청","37.57273544","126.9732804","2021-07-12","","2021-10-17 11:36:48.0"
"사직동 완충녹지","녹지면적 전체","서울특별시","종로구","녹지                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","3917.3","100000","02-2148-3544","서울특별시 종로구 사직로8길 4","","서울특별시 종로구청","37.5746552","126.968575","2021-07-12","","2021-10-17 11:36:48.0"
"쌈지공원","마을마당면적 전체","서울특별시","종로구","마을마당                                                                                                ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","919","100000","02-2148-3544","서울특별시 종로구 낙산5길 67","","서울특별시 종로구청","37.577505","127.0120316","2021-07-12","","2021-10-17 11:36:48.0"
"경복궁역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 사직로 130","","서울특별시 종로구청","37.57536635","126.9733202","2021-07-12","","2021-10-17 11:36:48.0"
"광화문역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 세종대로 지하 172","","서울특별시 종로구청","37.57162255","126.9767899","2021-07-12","","2021-10-17 11:36:48.0"
"독립문역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 통일로 252","","서울특별시 종로구청","37.57483205","126.9578343","2021-07-12","","2021-10-17 11:36:48.0"
"동대문역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 종로 302","","서울특별시 종로구청","37.5716351","127.0114013","2021-07-12","","2021-10-17 11:36:48.0"
"동묘앞역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 종로 359","","서울특별시 종로구청","37.573345","127.0167491","2021-07-12","","2021-10-17 11:36:48.0"
"서대문역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 통일로 지하 126","","서울특별시 종로구청","37.5658574","126.9666364","2021-07-12","","2021-10-17 11:36:48.0"
"신설동역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 보문로 3","","서울특별시 종로구청","37.57608795","127.0228628","2021-07-12","","2021-10-17 11:36:48.0"
"안국역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 율곡로 지하 62","","서울특별시 종로구청","37.57672001","126.9858221","2021-07-12","","2021-10-17 11:36:48.0"
"종각역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 종로 지하 55","","서울특별시 종로구청","37.57021449","126.983209","2021-07-12","","2021-10-17 11:36:48.0"
"종로3가역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 종로 지하 129","","서울특별시 종로구청","37.570491","126.992031","2021-07-12","","2021-10-17 11:36:48.0"
"종로5가역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 종로 지하 216","","서울특별시 종로구청","37.57090763","127.0019153","2021-07-12","","2021-10-17 11:36:48.0"
"창신역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 지봉로 104","","서울특별시 종로구청","37.57943003","127.0155595","2021-07-12","","2021-10-17 11:36:48.0"
"혜화역","지하철역 출입구로부터 10m 이내","서울특별시","종로구","지하철역                                                                                                ","서울특별시 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 대학로 120","","서울특별시 종로구청","37.58187452","127.0022914","2021-07-12","","2021-10-17 11:36:48.0"
"구일어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 구일로 62 (구로동)","","서울특별시 구로구청","37.49177617","126.8743622","2021-07-20","","2021-10-17 11:36:48.0"
"새동산어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 구일로4길 65 113동 104호(구로동 구로주공아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"예쁜별어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 서해안로28길 18 (오류동)","","서울특별시 구로구청","37.4924091","126.8430747","2021-07-20","","2021-10-17 11:36:48.0"
"금강어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 오리로 1197 금강수목원아파트 관리동 (오류동)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"꼬마숲어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 천왕로 10 501동103호(천왕동 천왕이펜하우스 5단지)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"리터러시어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 천왕동 27번지 천왕이펜하우스4단지 403동-104호","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"호산나어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 구로동로13길 63 (가리봉동)","","서울특별시 구로구청","37.4872062","126.8812717","2021-07-20","","2021-10-17 11:36:48.0"
"아이꿈터어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로12길 12 102동 103호(고척동 센츄리아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"보배사랑어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로12길 7 101동 101호(고척동 고척LIG리가1단지)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"고척어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","","서울특별시 구로구 고척동 141-1","서울특별시 구로구청","37.5029546381","126.8605910020","2021-07-20","","2021-10-17 11:36:48.0"
"리가아이어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로12길 7 리가건영아파트 관리동 (고척동)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"유앤아이사랑어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로15길 151 103동 101호(고척동 한일유앤아이아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"아가랑어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로5길 62 4동 106호(고척동 서울가든아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"해님달님어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 중앙로6길 5-15 101동 104호(고척동 청구아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"행복한꿈씨어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로3가길 29 101호(개웅1길25) (개봉동)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"예담어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로3길 74-5 영진화이트빌 102호 (개봉동)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"피노키오어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 구일로8길 31 101동 107호(구로동 우성아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"큰사랑한신어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 구일로8길 63 1동 111호(구로동 한신1차아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"밝은햇살어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 도림로8길 4","","서울특별시 구로구청","37.4858317341","126.8874629525","2021-07-20","","2021-10-17 11:36:48.0"
"IBK참  좋은어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 디지털로32길 55 3층 구로동","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"미소어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 시흥대로161길 50 103동 101호(구로동 신성미소지움아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"동아어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 경인로 643","","서울특별시 구로구청","37.50915497","126.885191","2021-07-20","","2021-10-17 11:36:48.0"
"열린어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 경인로 643 (신도림동)","","서울특별시 구로구청","37.50915497","126.885191","2021-07-20","","2021-10-17 11:36:48.0"
"꿈샘어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 도림로6길 29-1","","서울특별시 구로구청","37.4851771613","126.8886139410","2021-07-20","","2021-10-17 11:36:48.0"
"햇님어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 디지털로32길 29 (구로동)","","서울특별시 구로구청","37.4848786","126.8972992","2021-07-20","","2021-10-17 11:36:48.0"
"하늘분식","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로17나길 36(개봉동)","","서울특별시 구로구청","37.49320081","126.8533768","2021-07-20","","2021-10-17 11:36:48.0"
"동부에이스","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로17나길 111","","서울특별시 구로구청","37.49474598","126.8497507","2021-07-20","","2021-10-17 11:36:48.0"
"한신빌라","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로17길 90(개봉동개봉로17아길변)","","서울특별시 구로구청","37.49129482","126.850929","2021-07-20","","2021-10-17 11:36:48.0"
"럭비구장","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 온수동 35-1(럭비구장출입구변)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"궁동사회복지관","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 오리로22길 5(궁동)","","서울특별시 구로구청","37.49913351","126.8295624","2021-07-20","","2021-10-17 11:36:48.0"
"덕성빌라","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 개봉동 375-12","서울특별시 구로구청","37.49121196","126.8514954","2021-07-20","","2021-10-17 11:36:48.0"
"한사랑정형외과","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 고척로 123(개봉동고척로27길변)","","서울특별시 구로구청","37.50216758","126.8476549","2021-07-20","","2021-10-17 11:36:48.0"
"한진또래어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로1나길 58 (개봉동)","","서울특별시 구로구청","37.48575365","126.8523873","2021-07-20","","2021-10-17 11:36:48.0"
"꼬꼬마어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로1길 170 102동 102호(개봉동 대상아파트)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"숲속어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로18길 35","","서울특별시 구로구청","37.49090687","126.8578184","2021-07-20","","2021-10-17 11:36:48.0"
"하늘샘어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로18길 17 (개봉동)","","서울특별시 구로구청","37.49142847","126.8570032","2021-07-20","","2021-10-17 11:36:48.0"
"무지개어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로17아길 44 멤버스빌 101호 (개봉동)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"목양몬테소리어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로17마길 8 (개봉동)","","서울특별시 구로구청","37.49171219","126.8532531","2021-07-20","","2021-10-17 11:36:48.0"
"아이빌어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로11길 46-23","서울특별시 구로구 개봉동 342-7","서울특별시 구로구청","37.48891903","126.8532178","2021-07-20","","2021-10-17 11:36:48.0"
"호암어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로11길 28-31","","서울특별시 구로구청","37.48949319","126.8541258","2021-07-20","","2021-10-17 11:36:48.0"
"대광어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로11길 17","서울특별시 구로구 개봉동 349-5","서울특별시 구로구청","37.48772865","126.8552916","2021-07-20","","2021-10-17 11:36:48.0"
"예다움보듬이나눔이어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 개봉로 29","서울특별시 구로구 개봉동 403-82","서울특별시 구로구청","37.4882989","126.8559554","2021-07-20","","2021-10-17 11:36:48.0"
"섬기는어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 우마1다길 25","","서울특별시 구로구청","37.48299532","126.8896633","2021-07-20","","2021-10-17 11:36:48.0"
"예신애들피아 어린이집","유치원어린이집시설 경계선으로부터 10m이내 구역","서울특별시","구로구","어린이집                                                                                                ","국민건강증진법 제9조 제6항","0","100000","02-860-3225","서울특별시 구로구 디지털로27길 83-4","","서울특별시 구로구청","37.48419712","126.888983","2021-07-20","","2021-10-17 11:36:48.0"
"동묘역앞","버스정류소 승차대 또는 표지판 경계로부터 10m이내","서울특별시","종로구","가로변버스정류소                                                                                            ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","","100000","02-2148-3544","서울특별시 종로구 지봉로 19","","서울특별시 종로구청","37.57173918","127.0152048","2021-07-12","","2021-10-17 11:36:48.0"
"머리이야기","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로17나길 82(개봉동)","","서울특별시 구로구청","37.49401237","126.8510186","2021-07-20","","2021-10-17 11:36:48.0"
"거성아파트","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로15길 91(개봉동)","","서울특별시 구로구청","37.48964437","126.8510816","2021-07-20","","2021-10-17 11:36:48.0"
"하늘분식","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로 17나길 33(개봉동)","","서울특별시 구로구청","37.49303503","126.8533817","2021-07-20","","2021-10-17 11:36:48.0"
"국민은행개봉전화국","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉로 1416(개봉동)","","서울특별시 구로구청","37.48694104","126.8566635","2021-07-20","","2021-10-17 11:36:48.0"
"개봉고가","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 개봉동 481","서울특별시 구로구청","37.4928802334","126.8593080790","2021-07-20","","2021-10-17 11:36:48.0"
"개명초교","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 개봉1다길 5(개봉동개봉로1길변소망빌라)","","서울특별시 구로구청","37.48299532","126.8872345","2021-07-20","","2021-10-17 11:36:48.0"
"만민중앙교회","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 디지털로26길 29","서울특별시 구로구 구로동 235-3","서울특별시 구로구청","37.4814814476","126.8941479159","2021-07-20","","2021-10-17 11:36:48.0"
"보람아파트","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 디지털로 318(구로동)","","서울특별시 구로구청","37.48675273","126.8973463","2021-07-20","","2021-10-17 11:36:48.0"
"27호선대림역","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 도림천로 344(구로동대림역4번출구앞)","","서울특별시 구로구청","37.49406948","126.8939077","2021-07-20","","2021-10-17 11:36:48.0"
"영서중학교","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 도림로20길 11(구로동도림로변)","","서울특별시 구로구청","37.48960623","126.8922903","2021-07-20","","2021-10-17 11:36:48.0"
"대림역","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 도림로 97(구로동)","","서울특별시 구로구청","37.49117534","126.8937897","2021-07-20","","2021-10-17 11:36:48.0"
"대림역","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 도림로 96(구로동)","","서울특별시 구로구청","37.49073202","126.8937677","2021-07-20","","2021-10-17 11:36:48.0"
"보성운수기종점","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 145-17","서울특별시 구로구청","37.4902656434","126.8929475567","2021-07-20","","2021-10-17 11:36:48.0"
"구일고교구일초등학교","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 685-222","서울특별시 구로구청","37.4951304128","126.8753603993","2021-07-20","","2021-10-17 11:36:48.0"
"구로주공 APT","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 685-225","서울특별시 구로구청","37.49150465","126.8757682","2021-07-20","","2021-10-17 11:36:48.0"
"구로1동주민센터연예인 APT","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 685-213","서울특별시 구로구청","37.4930400779","126.8757882587","2021-07-20","","2021-10-17 11:36:48.0"
"구로1동주민센터연예인 APT","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 685-225","서울특별시 구로구청","37.49297138","126.8760965","2021-07-20","","2021-10-17 11:36:48.0"
"구일우성아파트","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 685-224","서울특별시 구로구청","37.49014856","126.8756969","2021-07-20","","2021-10-17 11:36:48.0"
"항아리","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 구로중앙로28길 6(구로동)","","서울특별시 구로구청","37.49865044","126.8864148","2021-07-20","","2021-10-17 11:36:48.0"
"구로구청후문","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 구로중앙로 75","서울특별시 구로구 구로동 442-38","서울특별시 구로구청","37.49604975","126.8879024","2021-07-20","","2021-10-17 11:36:48.0"
"구로구청","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 65","서울특별시 구로구청","37.4947764704","126.8876395096","2021-07-20","","2021-10-17 11:36:48.0"
"구로역AK플라자","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","서울특별시 구로구 구로중앙로 152(구로동)","","서울특별시 구로구청","37.50115888","126.882774","2021-07-20","","2021-10-17 11:36:48.0"
"동구로새마을금고","승차대 또는 버스표지판경계로부터 10m이내","서울특별시","구로구","버스정류소                                                                                               ","서울특별시 구로구 간접흡연 피해방지 조례 제5조","0","100000","02-860-3225","","서울특별시 구로구 구로동 136-14","서울특별시 구로구청","37.49143515","126.8921588","2021-07-20","","2021-10-17 11:36:48.0"
